	Series_reference	Period	Data_value	STATUS	UNITS	Subject	Group	Series_title_1
147	CPIM.SAP0101	2006.11	2.48	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
148	CPIM.SAP0101	2006.12	2.4	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
149	CPIM.SAP0101	2007.01	2.36	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
150	CPIM.SAP0101	2007.02	2.48	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
151	CPIM.SAP0101	2007.03	2.37	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
152	CPIM.SAP0101	2007.04	2.34	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
153	CPIM.SAP0101	2007.05	2.36	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
154	CPIM.SAP0101	2007.06	2.29	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
155	CPIM.SAP0101	2007.07	2.29	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
156	CPIM.SAP0101	2007.08	2.29	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
157	CPIM.SAP0101	2007.09	2.4	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
158	CPIM.SAP0101	2007.1	2.37	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
159	CPIM.SAP0101	2007.11	2.41	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
160	CPIM.SAP0101	2007.12	2.38	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
161	CPIM.SAP0101	2008.01	2.38	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
162	CPIM.SAP0101	2008.02	2.36	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
163	CPIM.SAP0101	2008.03	2.39	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
